full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
pedrohcgs/claude-code-my-workflow,814,814,1550,2,2,5,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3760,3760,553,1,1,0,https://github.com/OneRedOak/claude-code-workflows
beita6969/claude-code,165,165,415,23,23,52,https://github.com/beita6969/claude-code
hangsman/claude-code-source,457,457,1153,76,76,227,https://github.com/hangsman/claude-code-source
1rgs/claude-code-proxy,3335,3335,442,3,3,2,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26108,26108,9976,15,15,51,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3449,3449,586,2,2,0,https://github.com/disler/claude-code-hooks-mastery
NanmiCoder/claude-code-haha,553,553,804,553,553,804,https://github.com/NanmiCoder/claude-code-haha
zebbern/claude-code-guide,3772,3772,353,3,3,1,https://github.com/zebbern/claude-code-guide
sickn33/antigravity-awesome-skills,29500,29500,4920,128,128,16,https://github.com/sickn33/antigravity-awesome-skills
anthropics/skills,107645,107645,11954,185,185,44,https://github.com/anthropics/skills
kodu-ai/claude-coder,5287,5287,198,-1,-1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7244,7244,353,11,11,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2314,2314,384,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2298,2298,323,4,4,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4088,4088,346,4,4,3,https://github.com/anthropics/claude-code-security-review
tvytlx/claude-code-deep-dive,1335,1335,564,490,490,264,https://github.com/tvytlx/claude-code-deep-dive
RichardAtCT/claude-code-telegram,2300,2300,304,4,4,-1,https://github.com/RichardAtCT/claude-code-telegram
Leonxlnx/claude-code-system-prompts,1182,1182,588,426,426,196,https://github.com/Leonxlnx/claude-code-system-prompts
FlorianBruniaux/claude-code-ultimate-guide,2652,2652,380,24,24,4,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2542,2542,270,0,0,3,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,744,744,591,1,1,1,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2235,2235,253,3,3,0,https://github.com/ding113/claude-code-hub
https-deeplearning-ai/sc-claude-code-files,469,469,639,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
VineeTagarwaL-code/claude-code,173,173,179,48,48,52,https://github.com/VineeTagarwaL-code/claude-code
edmund-io/edmunds-claude-code,1375,1375,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,21744,21744,3578,66,66,5,https://github.com/router-for-me/CLIProxyAPI
zstmfhy/Claude-code,118,118,207,39,39,53,https://github.com/zstmfhy/Claude-code
obra/superpowers,128339,128339,10502,525,525,59,https://github.com/obra/superpowers
eyaltoledano/claude-task-master,26332,26332,2470,4,4,2,https://github.com/eyaltoledano/claude-task-master
Pimzino/claude-code-spec-workflow,3596,3596,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
wanshuiyin/Auto-claude-code-research-in-sleep,5026,5026,415,22,22,5,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
wshobson/agents,32673,32673,3565,25,25,7,https://github.com/wshobson/agents
anthropics/claude-plugins-official,15586,15586,1701,33,33,7,https://github.com/anthropics/claude-plugins-official
zhukunpenglinyutong/idea-claude-code-gui,2274,2274,263,6,6,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
snarktank/ralph,14160,14160,1442,6,6,0,https://github.com/snarktank/ralph
freestylefly/claude-code,89,89,194,29,29,81,https://github.com/freestylefly/claude-code
bfly123/claude_code_bridge,2009,2009,184,1,1,1,https://github.com/bfly123/claude_code_bridge
ghuntley/claude-code-source-code-deobfuscation,933,933,536,14,14,26,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,9227,9227,1186,26,26,4,https://github.com/siteboon/claudecodeui
feiskyer/claude-code-settings,1392,1392,207,1,1,0,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1711,1711,264,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,987,987,227,0,0,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1508,1508,240,2,2,1,https://github.com/lst97/claude-code-sub-agents
centminmod/my-claude-code-setup,2138,2138,213,0,0,0,https://github.com/centminmod/my-claude-code-setup
alirezarezvani/claude-skills,8422,8422,1005,69,69,15,https://github.com/alirezarezvani/claude-skills
huangserva/claude-code-cli,173,173,433,173,173,433,https://github.com/huangserva/claude-code-cli
lowcortisolprogrammer/claude-code,138,138,130,22,22,20,https://github.com/lowcortisolprogrammer/claude-code
darcyegb/ClaudeCodeAgents,636,636,56,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
Alishahryar1/free-claude-code,1291,1291,171,8,8,4,https://github.com/Alishahryar1/free-claude-code
slopus/happy,16807,16807,1337,9,9,2,https://github.com/slopus/happy
Yeachan-Heo/oh-my-claudecode,19255,19255,1458,621,621,103,https://github.com/Yeachan-Heo/oh-my-claudecode
rohitg00/awesome-claude-code-toolkit,980,980,254,5,5,3,https://github.com/rohitg00/awesome-claude-code-toolkit
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
farion1231/cc-switch,36418,36418,2174,80,80,6,https://github.com/farion1231/cc-switch
catlog22/Claude-Code-Workflow,1644,1644,137,12,12,0,https://github.com/catlog22/Claude-Code-Workflow
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2579,2579,442,43,43,17,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
MR-MaoJiu/ClaudeCode,63,63,115,63,63,115,https://github.com/MR-MaoJiu/ClaudeCode
simonw/claude-code-transcripts,1370,1370,144,0,0,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1728,1728,132,4,4,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1212,1212,150,1,1,0,https://github.com/steipete/claude-code-mcp
LING71671/Open-ClaudeCode,78,78,117,78,78,117,https://github.com/LING71671/Open-ClaudeCode
Njengah/claude-code-cheat-sheet,1508,1508,192,3,3,2,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
jeremylongshore/claude-code-plugins-plus-skills,1785,1785,237,9,9,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
mehmoodosman/claude-code,69,69,136,69,69,136,https://github.com/mehmoodosman/claude-code
andrepimenta/claude-code-chat,1013,1013,156,0,0,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1319,1319,363,1,1,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
jarrodwatts/claude-hud,15764,15764,657,51,51,1,https://github.com/jarrodwatts/claude-hud
JessyTsui/Claude-Code-Remote,1192,1192,128,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
leaked-claude-code/leaked-claude-code,193,193,287,193,193,287,https://github.com/leaked-claude-code/leaked-claude-code
Hyper66666/claude-code-sourcemap,131,131,342,131,131,342,https://github.com/Hyper66666/claude-code-sourcemap
soufianebouaddis/claude-code,69,69,117,69,69,117,https://github.com/soufianebouaddis/claude-code
ComposioHQ/awesome-claude-skills,49920,49920,5179,92,92,19,https://github.com/ComposioHQ/awesome-claude-skills
